"","X","id","menina","branco","cidade_id","escola_id","prof_id","name_muni","pib","prof_nome","prof_exp","inf","trtGrp","sala_pequena","sala_professor_integral","nota"
"1",1,1,1,1,16,"Tamboril Do Piauí_4",62,"Tamboril Do Piauí",4790.74232599722,"Osnilda das Neves",6.33863085283311,4.62526456794013,2,1,0,92.0830178575237
"2",2,2,0,1,8,"Dom Inocêncio_1",120,"Dom Inocêncio",4110.47192881985,"Verdi da Cunha",13.4364360685505,2.9862234051959,1,0,0,56.5671400134772
"3",3,3,1,1,6,"Coronel José Dias_4",110,"Coronel José Dias",3999.82445163763,"Aldo Araújo",7.99981365137184,3.7293486817235,2,1,0,70.4191003982766
"4",4,4,1,1,6,"Coronel José Dias_3",108,"Coronel José Dias",3999.82445163763,"Uirá de Souza",20.6737420904829,6.84518696185051,1,0,0,53.3536034306304
"5",5,5,1,1,1,"Anísio De Abreu_3",6,"Anísio De Abreu",3732.89859734518,"Ferrer Farias",12.9344655500163,2.16808499275934,2,1,0,84.2627805997019
"6",6,6,1,1,11,"Jurema_4",23,"Jurema",2736.02521851292,"Leiliane Pires",15.7545492729269,5.44270892261543,3,0,1,68.4842596130834
"7",7,7,1,1,15,"São Raimundo Nonato_1",49,"São Raimundo Nonato",5793.1325150633,"Édina Aragão",12.4615073712838,6.07094049574356,3,0,1,44.367139561076
"8",8,8,1,0,3,"Brejo Do Piauí_2",83,"Brejo Do Piauí",3422.31586763709,"Selmira Araújo",16.0564802881256,2.9538563662512,2,1,0,77.3065398819431
"9",9,9,1,1,1,"Anísio De Abreu_2",4,"Anísio De Abreu",3732.89859734518,"Orestes Almeida",10.7226484829027,6.10256133803298,1,0,0,71.9667464365491
"10",10,10,1,0,11,"Jurema_2",19,"Jurema",2736.02521851292,"Josiane Sales",14.6680630638913,3.44993278272548,3,0,1,50.0981005405148
"11",11,11,0,0,12,"Pajeú Do Piauí_1",26,"Pajeú Do Piauí",3905.61081179791,"Rosário Gonçalves",25.2518090756008,2.99624831112166,2,1,0,59.832252814804
"12",12,12,1,0,6,"Coronel José Dias_4",110,"Coronel José Dias",3999.82445163763,"Aldo Araújo",7.99981365137184,3.7293486817235,1,0,0,57.974890199849
"13",13,13,1,1,7,"Dirceu Arcoverde_1",112,"Dirceu Arcoverde",5229.34802253056,"Lucas Pereira",20.2135553812721,7.99711333599123,3,0,1,69.120698237041
"14",14,14,1,0,14,"São Lourenço Do Piauí_2",44,"São Lourenço Do Piauí",4633.46923739916,"Dália Oliveira",8.8767857472445,6.5933949696698,2,1,0,64.812448723081
"15",15,15,0,1,16,"Tamboril Do Piauí_4",62,"Tamboril Do Piauí",4790.74232599722,"Osnilda das Neves",6.33863085283311,4.62526456794013,1,0,0,69.7562704453781
"16",16,16,1,1,1,"Anísio De Abreu_1",1,"Anísio De Abreu",3732.89859734518,"Amélia Fogaça",15.7970665669098,6.65894605774353,1,0,0,60.5345144122505
"17",17,17,1,1,11,"Jurema_1",17,"Jurema",2736.02521851292,"Judas da Luz",15.0209166187839,8.06832217997777,3,0,1,67.3481089642905
"18",18,18,0,1,2,"Bonfim Do Piauí_2",75,"Bonfim Do Piauí",5704.73948948163,"Zoneide Teixeira",12.6879315899614,5.45649614814944,1,0,0,73.1035944286083
"19",19,19,1,1,11,"Jurema_4",24,"Jurema",2736.02521851292,"Cauani Caldeira",13.9911725928001,5.44270892261543,3,0,1,64.7309246039356
"20",20,20,1,0,7,"Dirceu Arcoverde_1",112,"Dirceu Arcoverde",5229.34802253056,"Lucas Pereira",20.2135553812721,7.99711333599123,1,0,0,56.602606111089
"21",21,21,0,0,11,"Jurema_1",18,"Jurema",2736.02521851292,"Nair Moura",15.2040349548981,8.06832217997777,3,0,1,61.9020195674766
"22",22,22,1,0,11,"Jurema_4",23,"Jurema",2736.02521851292,"Leiliane Pires",15.7545492729269,5.44270892261543,1,0,0,62.6352042540504
"23",23,23,1,1,12,"Pajeú Do Piauí_3",29,"Pajeú Do Piauí",3905.61081179791,"Armelim Oliveira",17.3304408763364,1.93848008258541,3,0,1,48.1880840123856
"24",24,24,1,1,7,"Dirceu Arcoverde_1",113,"Dirceu Arcoverde",5229.34802253056,"Estéfani da Paz",9.98113322070371,7.99711333599123,2,1,0,74.9227817836633
"25",25,25,0,0,13,"São Braz Do Piauí_2",35,"São Braz Do Piauí",3937.90914067858,"Cirlei Fogaça",16.4939291129576,3.06915814443172,2,1,0,70.3216113360716
"26",26,26,1,1,10,"Guaribas_1",10,"Guaribas",4178.51090409028,"Aniele Castro",30.0976726934037,3.21475862196924,2,1,0,93.7199238228475
"27",27,27,1,0,4,"Canto Do Buriti_3",93,"Canto Do Buriti",4236.55979260193,"Rúbia Duarte",14.5796305464734,4.81312692415379,3,0,1,60.2871189375179
"28",28,28,1,0,5,"Caracol_4",102,"Caracol",3785.55929827932,"Sátiro de Souza",12.0572745003101,3.74539232952649,2,1,0,55.031979019268
"29",29,29,0,0,1,"Anísio De Abreu_2",3,"Anísio De Abreu",3732.89859734518,"Felisberto da Costa",15.6474668624735,6.10256133803298,2,1,0,70.2773811723417
"30",30,30,1,0,8,"Dom Inocêncio_2",123,"Dom Inocêncio",4110.47192881985,"Torcato Lopes",12.9997227037483,6.28903496023608,3,0,1,52.403861524112
"31",31,31,0,1,10,"Guaribas_1",10,"Guaribas",4178.51090409028,"Aniele Castro",30.0976726934037,3.21475862196924,3,0,1,51.3438063923689
"32",32,32,1,1,8,"Dom Inocêncio_2",123,"Dom Inocêncio",4110.47192881985,"Torcato Lopes",12.9997227037483,6.28903496023608,3,0,1,62.4255600083108
"33",33,33,1,1,12,"Pajeú Do Piauí_4",31,"Pajeú Do Piauí",3905.61081179791,"Nicol Moraes",15.6370915245334,3.66021920480037,1,0,0,49.5775834755074
"34",34,34,0,1,11,"Jurema_2",19,"Jurema",2736.02521851292,"Josiane Sales",14.6680630638913,3.44993278272548,2,1,0,52.1864747246397
"35",35,35,1,1,4,"Canto Do Buriti_3",92,"Canto Do Buriti",4236.55979260193,"Rolim das Neves",18.7583600420814,4.81312692415379,1,0,0,60.1393627631053
"36",36,36,0,0,14,"São Lourenço Do Piauí_3",46,"São Lourenço Do Piauí",4633.46923739916,"Vitorino da Luz",18.0311831356148,6.31052772889975,3,0,1,62.3495158680234
"37",37,37,1,0,4,"Canto Do Buriti_4",95,"Canto Do Buriti",4236.55979260193,"Santelmo da Mota",12.0816431033349,3.1287559622999,2,1,0,58.8652869238838
"38",38,38,0,0,1,"Anísio De Abreu_2",3,"Anísio De Abreu",3732.89859734518,"Felisberto da Costa",15.6474668624735,6.10256133803298,2,1,0,55.9183260419418
"39",39,39,1,1,16,"Tamboril Do Piauí_3",60,"Tamboril Do Piauí",4790.74232599722,"Caetano Moura",17.6140068784045,6.24021833784871,1,0,0,59.713635537354
"40",40,40,1,0,3,"Brejo Do Piauí_1",81,"Brejo Do Piauí",3422.31586763709,"Carolina Barbosa",15.1503009830781,3.38877322173036,3,0,1,51.9856085039494
"41",41,41,1,1,5,"Caracol_2",98,"Caracol",3785.55929827932,"Alcibíades Lima",17.8370825147115,3.92166196604778,1,0,0,50.8118827938863
"42",42,42,1,1,11,"Jurema_3",21,"Jurema",2736.02521851292,"Lucas Rocha",7.58718739497113,3.08827241110571,1,0,0,64.5000166022087
"43",43,43,1,1,16,"Tamboril Do Piauí_1",56,"Tamboril Do Piauí",4790.74232599722,"Clareana Rodrigues",21.4694844995227,4.21458534344643,2,1,0,88.3857570525478
"44",44,44,0,0,16,"Tamboril Do Piauí_3",60,"Tamboril Do Piauí",4790.74232599722,"Caetano Moura",17.6140068784045,6.24021833784871,2,1,0,81.8303423518776
"45",45,45,0,1,2,"Bonfim Do Piauí_4",79,"Bonfim Do Piauí",5704.73948948163,"Zerá Lopes",17.50261812999,5.00522569778429,1,0,0,64.4747221306656
"46",46,46,1,1,11,"Jurema_3",21,"Jurema",2736.02521851292,"Lucas Rocha",7.58718739497113,3.08827241110571,1,0,0,55.6927036232019
"47",47,47,0,0,11,"Jurema_2",20,"Jurema",2736.02521851292,"Zelaci Pereira",14.5253106958483,3.44993278272548,2,1,0,65.5382046424252
"48",48,48,1,0,11,"Jurema_1",17,"Jurema",2736.02521851292,"Judas da Luz",15.0209166187839,8.06832217997777,3,0,1,53.9708451533647
"49",49,49,1,0,11,"Jurema_3",22,"Jurema",2736.02521851292,"Lutero Fernandes",16.1002196103384,3.08827241110571,2,1,0,69.3793924588127
"50",50,50,1,0,17,"Várzea Branca_2",67,"Várzea Branca",5149.20657941617,"Charbel Silveira",13.7059105444635,5.13032284431646,1,0,0,65.6741724101169
"51",51,51,1,0,6,"Coronel José Dias_3",109,"Coronel José Dias",3999.82445163763,"Fabrícia da Conceição",17.6026165273353,6.84518696185051,2,1,0,63.3196836152106
"52",52,52,0,1,11,"Jurema_2",20,"Jurema",2736.02521851292,"Zelaci Pereira",14.5253106958483,3.44993278272548,1,0,0,47.2877082781303
"53",53,53,0,1,11,"Jurema_2",19,"Jurema",2736.02521851292,"Josiane Sales",14.6680630638913,3.44993278272548,2,1,0,66.9150233344532
"54",54,54,0,1,13,"São Braz Do Piauí_2",35,"São Braz Do Piauí",3937.90914067858,"Cirlei Fogaça",16.4939291129576,3.06915814443172,3,0,1,54.2102905885028
